"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"953","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS. Para interpelar.)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","Para interpelar","Então, eu vou lhe colocar os dados agora. Eu já citei 287 milhões de doses distribuídas no Brasil para uma população vacinal de 160. Se eu utilizar 320, duas doses – mais 18, 36 –, estão faltando 33 para a primeira dose dos 160 milhões, e as 36; estão faltando 69 milhões de doses de vacina. E o Governo já comprou 632 milhões de doses de vacina. Ponto. Tem comprado vacina. E vou lhe assegurar, vou lhe afirmar que, até o mês que vem... O meu Estado, Rio Grande do Sul, Senador Girão, recebeu 15,323 milhões de doses, para uma população vacinal de 9 milhões de gaúchos e gaúchas. Já recebeu 6,3 milhões para a segunda dose. Faltam apenas 2,6 milhões para terminarem no Rio Grande do Sul as duas doses, o que, na metade do mês que vem, termina. Ponto. Isso é o Rio Grande do Sul. E agora vamos também para a segunda dose. Então, existe vacina suficiente. Só para lhe colocar esse ponto. E os fatos vão mostrar o que eu estou dizendo, que é real. Senhor depoente... Em primeiro lugar, eu quero perguntar para o depoente qual é o histórico da empresa Precisa quanto ao fornecimento de suprimentos médicos e farmacológicos em processos de licitação para o Governo do Brasil. Em que ano começaram essas vendas e quando finalizaram seus fornecimentos? Pode responder? "
"954","58","2021-09-23","DANILO BERNDT TRENTO","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sr. Senador, a Precisa é uma empresa de 20 anos de mercado. "
"955","58","2021-09-23","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Mas – se o senhor me permite, Senador Heinze – a pergunta do Senador foi: em que ano... "
"956","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Quando é que o senhor começou? E até que... "
"957","58","2021-09-23","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","... começou a comercializar com o Governo brasileiro? "
"958","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Está entregando este ano, ano passado, retrasado? "
"959","58","2021-09-23","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Com o Governo brasileiro, em que ano começou a comercializar? Com o Ministério da Saúde, para ser exato. "
"960","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Sim... "
"961","58","2021-09-23","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Eu acho que é essa a pergunta... "
"962","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","... é essa a pergunta. "
