"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"741","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Olha, são vários setores. "
"742","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Mas essas faturas eram da própria empresa? Eram faturas da própria empresa? "
"743","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Eram da própria empresa, porque a empresa tinha um contrato de passagens no ministério, que era o grupo Voetur, que é turismo...         "
"744","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Certo. "
"745","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Aí então eu pegava, entregava as faturas, e aí era justamente... (Intervenção fora do microfone.) "
"746","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Só um minutinho. Sobre a questão dessas faturas, você se lembra se havia essas faturas pra pessoa que não era da empresa, digamos assim, boletos de pagamento para pessoa física? "
"747","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Não. Não tinha boleto. Não tinha boleto. "
"748","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Mas o senhor fez um pagamento para o Roberto Dias. "
"749","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Não. "
"750","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Mas a gente tem, Sr. Ivanildo. "
"751","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Mas eu não tenho conhecimento desses boletos. "
"752","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","O senhor não lembra? "
"753","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Não. "
"754","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Mas, assim, Sr. Ivanildo, veja bem, o senhor não lembra que o senhor pagou pro Roberto Dias, mas o senhor lembra que o senhor pagava cartão de crédito dos familiares da empresa? "
"755","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Olha... "
"756","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Então, o senhor olhava lá. O senhor não sabe ler direitinho? "
"757","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Não é questão de saber ler. A questão é que eu pegava o serviço – tanto que já tinha os valores –, eu pegava e fazia o meu pagamento. "
"758","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Mas como é que o senhor sabe o que era cartão de crédito e o que não era cartão de crédito? O que era da família e o que não era da família? "
"759","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Não. Porque tinha boletos... Cartão de crédito você tem mais noção, você conhece. "
"760","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Mas o boleto também tem o nome, não tem? "
"761","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Não. O boleto era... Não tinha, era só o código de barra e o valor embaixo. "
