"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia, Srs. Senadores, Sras. Senadoras. Havendo número regimental, declaro aberta a 25ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia, bem como outras ações ou omissões cometidas por administrações públicas federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se à apreciação de requerimentos. Eu vou passar a palavra ao Relator, o Senador Renan Calheiros, para que a gente aprecie os requerimentos.  "
"2","25","2021-06-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","Sr. Presidente Senador Omar Aziz, Sr. Vice-Presidente Senador Randolfe Rodrigues, Srs. Senadores, Sras. Senadoras, há requerimentos pautados de convocação, de diligência, de transferência de sigilo, de informações e de convite. Para maior celeridade dos trabalhos, como sempre fizemos, sugiro a V. Exa., Presidente, que votemos todos os requerimentos pautados em globo. "
"3","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Quais requerimentos, Sr. Presidente? De sigilo, convocações, tudo junto? "
"4","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sim. Eu vou colocar o encaminhamento do Senador Renan Calheiros em votação. "
"5","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Eu peço, Sr. Presidente... Eu não tenho nenhuma dificuldade, mas... "
"6","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Se o senhor tiver algum destaque, a gente destaca, Senador. "
"7","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Perfeito, é isso que eu gostaria. "
"8","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Está bom. Em votação o requerimento do Senador Renan Calheiros pra gente votar tudo em globo. Em votação. Aqueles que aprovam permaneçam como estão.  Aprovado. Qual é o destaque, Senador Ciro Nogueira? "
"9","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","É o destaque do 934, Sr. Presidente. "
"10","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Qual é, Senador, por favor? "
"11","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Diz respeito à quebra do sigilo fiscal, telefônico, bancário e telemático de Thais Amaral. "
"12","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Quem é Thais Amaral?  Ah, é a Secretária do... "
"13","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Eu quero fazer uma ponderação, Sr. Presidente, porque... "
"14","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu vou retirar de pauta, Senador, esse... Eu peço pra retirar de pauta e a gente pode aprovar na... Vamos aprovar os outros. Se só é esse o destaque, Senador, eu peço... "
"15","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Minha ponderação... É só explicar ao senhor o porquê, Sr. Presidente. É porque está a convocação dela...         Se o Relator, logo depois do depoimento dela, achar que isso é pertinente, que existe essa necessidade, nós votaríamos essa situação. Essa é a minha ponderação. "
"16","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Otto. "
"17","25","2021-06-23","OTTO ALENCAR","(PSD - BA. Pela ordem.)","(PSD - BA. Pela ordem.)","PSD","BA","Pela ordem","Sr. Presidente, eu quero entender que existe um requerimento de convocação e tem um de quebra de sigilo. "
"18","25","2021-06-23","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Exatamente. "
"19","25","2021-06-23","OTTO ALENCAR","(PSD - BA)","(PSD - BA)","PSD","BA","","Acho que é pertinente a proposta do Senador Ciro Nogueira: depois de ouvi-la, se for necessário ou tiver algum sinal... "
"20","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O.k. Sem problema. "
"21","25","2021-06-23","OTTO ALENCAR","(PSD - BA)","(PSD - BA)","PSD","BA","","... alguma suspeita, aí se quebra o sigilo. "
"22","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O.k. Então, em votação, os outros... "
"23","25","2021-06-23","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Bloco Parlamentar Unidos pelo Brasil","MDB","PE","","Sr. Presidente. "
"24","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador Fernando Bezerra. "
"25","25","2021-06-23","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Pela ordem.)","Bloco Parlamentar Unidos pelo Brasil","MDB","PE","Pela ordem","Isto deveria se aplicar a qualquer outro depoente: para não quebrar antes do depoimento. Então, é só verificar... "
"26","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Os indícios de outros depoentes, aí é pontual, está certo? Eu não vejo necessidade, neste momento, de fazer isso com a senhora... Eu não conheço a Sra. Thaís, Até porque eu entendo que ela financeiramente não tenha... Ela não é ordenadora de despesa, ela não participa de licitação, ela não participa de absolutamente nada. Então, é uma outra coisa, Senador Fernando Bezerra. Por isso é que eu concordei com o Senador Ciro Nogueira. Agora, os demais são empresas, é outra coisa. E a gente... Hoje mesmo de manhã tive uma reunião com a Secretaria. "
"27","25","2021-06-23","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Bloco Parlamentar Unidos pelo Brasil","MDB","PE","","Não, eu me refiro a... "
"28","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Quero deixar muito claro aqui... "
"29","25","2021-06-23","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Bloco Parlamentar Unidos pelo Brasil","MDB","PE","","Eu só me refiro a servidores públicos. Eu estou falando aqui: esse procedimento que se está... "
"30","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Claro, servidor público que for ordenador de despesa é uma coisa. "
"31","25","2021-06-23","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Bloco Parlamentar Unidos pelo Brasil","MDB","PE","","Pois é. "
"32","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Que trata de licitação, de outra coisa. No caso dela específico, ela não tem esse tipo de trabalho na função dela, não é, Senador Renan? "
"33","25","2021-06-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Fora do microfone","Não tem. "
"34","25","2021-06-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não tem. Então é pertinente o pedido do Senador Ciro Nogueira. "
"35","25","2021-06-23","FERNANDO BEZERRA COELHO","(Bloco Parlamentar Unidos pelo Brasil/MDB - PE)","Bloco Parlamentar Unidos pelo Brasil","MDB","PE","","Que eu estou apoiando – que eu estou apoiando. "
