"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"315","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","... da empresa Cália Propaganda e Marketing. "
"316","18","2021-06-10","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Fora do microfone.)","Bloco Parlamentar Senado Independente","REDE","AP","Fora do microfone","Calia. "
"317","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Calia Propaganda e Marketing/Y2. Calia/Y2. Item 35: requerimento pede quebra de sigilos da empresa Artplan. E 36: transferência de sigilo telefônico e telemático de Antônio Elcio Franco. (Intervenções fora do microfone.) "
"318","18","2021-06-10","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Já foi. Vamos votar o 34 e o 35. "
"319","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Os itens 34 e 35. Em votação os itens 34 e o item 35. Os que aprovam permaneçam como estão.  Aprovados. "
"320","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Falta apreciar o item 7. O item 7 é Mayra Pinheiro. "
"321","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Já foi votado. "
"322","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Já foi votado? "
"323","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Já foi votado o da Mayra. Já foi votado. (Intervenções fora do microfone.) "
"324","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O das duas advogadas da Pfizer foi retirado de pauta por uma razão: nós não temos fato ainda determinante para fazer qualquer coisa, a não ser chamá-las aqui, porque foram elas que participaram da reunião com o Fábio Wajngarten, solicitada pela Pfizer. Por isso que foi retirado. Não há um fato determinante. "
"325","18","2021-06-10","JORGINHO MELLO","(Bloco Parlamentar Vanguarda/PL - SC)","Bloco Parlamentar Vanguarda","PL","SC","","Sr. Presidente... "
"326","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador Jorginho. "
"327","18","2021-06-10","JORGINHO MELLO","(Bloco Parlamentar Vanguarda/PL - SC)","Bloco Parlamentar Vanguarda","PL","SC","","Eu só queria fazer uma... Deixar consignado aqui: não é razoável nós estarmos quebrando o sigilo de pessoas que nem foram ouvidas na CPI. Não há nenhum tipo de suspeita; como é que nós vamos quebrar o sigilo das pessoas sem que tenham vindo aqui, deixado dúvida para esclarecimento, enfim... Isso não é razoável. Então, eu queria deixar isso consignado, Sr. Presidente, para que a gente não se arrependa depois de ter cometido injustiças aqui. A CPI tem que apurar a verdade, e não fazer injustiça. "
"328","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu também estou preocupado com apurar a verdade e seguir o dinheiro, conforme a orientação de todos os Senadores, e a gente não cometer injustiça. Por isso que temos retirado alguns, porque realmente eu não vejo razão ainda para fazer. Agora, em relação a essas três empresas que trabalham para a Secom, que trabalham há muitos anos ali na Secom, nós temos certeza de algumas coisas ali. Então, não dá para falar aqui, mas vamos investigar. O.k.? Sem problema nenhum. Eu acho que, se não tiver, ótimo: é um atestado de boa conduta. Está certo? (Intervenção fora do microfone.) "
"329","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Fora do microfone","Sr. Presidente, vamos encerrar aqui... "
"330","18","2021-06-10","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Eu só quero lembrar, Senador Renan: os pedidos de informação... (Fora do microfone.) "
"331","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Há outros que eu quero ler.  (Fora do microfone.) Requerimentos de Informação 688, 689, 690, 697, 707, 709, 710, 722, 725, 742, 743, 744, 745, 746, 747, 748, 770, 771, 772, 773, 776, 777 e segue a numeração até 823.         Há uma praxe aqui de aprovar todos os requerimentos de informação em favor da transparência... "
"332","18","2021-06-10","ALESSANDRO VIEIRA","(Bloco Parlamentar Senado Independente/CIDADANIA - SE)","Bloco Parlamentar Senado Independente","CIDADANIA","SE","","Sr. Relator, tem o 826 também aí. "
"333","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","O 826... Tem todos aqui: 826, 817, 818, 821, 823, 820... "
"334","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Em votação os pedidos de informação. Os que aprovam permaneçam como estão.  Aprovado. Senador Fernando Bezerra. "
"335","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","E, por fim, Fernando... Por fim, o último requerimento, Presidente, que é um requerimento que convoca o depoimento da Dra. Ludhmila Hajjar por escrito, na forma da legislação, ou por vídeo ou por qualquer outra forma que possa garantir a presença importante dela e o seu testemunho nesta Comissão Parlamentar de Inquérito. "
"336","18","2021-06-10","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Bloco Parlamentar Unidos pelo Brasil","MDB","AM","","Quem é? Presidente... "
"337","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Senador Eduardo, é um requerimento de minha autoria e para o qual eu peço a sua atenção, que convoca o depoimento da Dra. Ludhmila Hajjar por escrito, na forma da legislação. Por quê? Porque ela está sendo pressionada sob todos os aspectos, ameaçada de morte, coisas que acontecem conosco todos os dias. "
"338","18","2021-06-10","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Bloco Parlamentar Unidos pelo Brasil","MDB","AM","","Meu querido Relator, eu poderia fazer uma ponderação para tentar fazer um equilíbrio? Eu acho que é importante ter o depoimento, mas é preciso, Sr. Presidente, colher informações de ambas as correntes, e o Relator poder apresentar as perguntas do Relator e receber contribuições do Senador Marcos Rogério... "
"339","18","2021-06-10","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Claro! Claro, faremos isso. "
"340","18","2021-06-10","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Bloco Parlamentar Unidos pelo Brasil","MDB","AM","","... do Senador Girão, do Senador Heinze, do Senador Jorginho, para que... "
"341","18","2021-06-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu não concordo com isso. "
