"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1080","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","É simples! V. Exa... É só pegar meu celular aqui agora e ver quem enviou. "
"1081","30","2021-07-01","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Vamos checar. "
"1082","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","Por favor! "
"1083","30","2021-07-01","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Vamos checar. "
"1084","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","O celular já foi recolhido. "
"1085","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","O telefone lá está registrado. Não há dúvida. Não há dúvida. "
"1086","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Tinha alguma outra prova nesse telefone? "
"1087","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","O senhor... "
"1088","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","Sobre qual, Excelência? "
"1089","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO. Para interpelar.)","Bloco Parlamentar Vanguarda","DEM","RO","Para interpelar","Tinha alguma outra prova que você pretendia demonstrar aqui, na sessão, hoje? "
"1090","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Tem contratos, tem RWA, tem tudo que... "
"1091","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Presidente, o Senador Marcos Rogério está preocupado com o telefone e com o que tinha lá. "
"1092","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Não! É porque... "
"1093","30","2021-07-01","FLÁVIO BOLSONARO","(PATRIOTA - RJ)","(PATRIOTA - RJ)","PATRIOTA","RJ","","É para não apagarem, para não apagarem as provas! "
"1094","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Aqui, nós queremos a investigação... "
"1095","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Não, ninguém vai apagar o seu celular. "
"1096","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","... por completo, sem seletividade, Relator! "
"1097","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Está muito preocupado! "
"1098","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Seria uma grave acusação... "
"1099","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","O que foi estranho foi a reação de V. Exa. "
"1100","30","2021-07-01","ALESSANDRO VIEIRA","(Bloco Parlamentar Senado Independente/CIDADANIA - SE)","Bloco Parlamentar Senado Independente","CIDADANIA","SE","","Só para tranquilizar, Sr. Presidente, se o senhor me permite, não tem perigo de apagar nada. Se apagar alguma coisa, fica documentado. Está tudo em andamento tranquilo. "
"1101","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Exatamente! "
"1102","30","2021-07-01","ALESSANDRO VIEIRA","(Bloco Parlamentar Senado Independente/CIDADANIA - SE)","Bloco Parlamentar Senado Independente","CIDADANIA","SE","","Quem preparou o depoente pode ficar com calma, que a historinha toda vai aparecer, sem drama. "
"1103","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","É! Exatamente! "
"1104","30","2021-07-01","ALESSANDRO VIEIRA","(Bloco Parlamentar Senado Independente/CIDADANIA - SE)","Bloco Parlamentar Senado Independente","CIDADANIA","SE","","Quem mandou o áudio, de onde vem o áudio... Calma! Deixem o cidadão falar! Ele veio prestar depoimento e está compromissado a dizer a verdade. Vamos seguir o depoimento. "
"1105","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Para finalizar, Sr. Dominguetti, o senhor... "
