"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"539","48","2021-08-25","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Sr. Roberto, o senhor me permita... Me desculpe: eu não quero continuar interrompendo, mas aí é um pouco demais! É um contrato de R$1,6 bilhão para adquirir vacinas! Acho que é o maior contrato da história da instituição do senhor... "
"540","48","2021-08-25","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Presidente, eu queria só comunicar respeitosamente aos advogados que os advogados estão ali para assistir, essa assistência é garantida, respeitada por todos, mas não para responder pelo depoente. "
"541","48","2021-08-25","ROBERTO PEREIRA RAMOS JÚNIOR","","","","","","Não estão respondendo. Eu gostaria de fazer, mais uma vez, duas... "
"542","48","2021-08-25","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Eu presenciei os advogados respondendo ou orientando para responder a uma pergunta minha. "
"543","48","2021-08-25","ROBERTO PEREIRA RAMOS JÚNIOR","","","","","","Com todo o respeito que devo ao senhor e à Casa, eu queria ressaltar dois pontos. O primeiro... "
"544","48","2021-08-25","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Só uma preliminar: eu queria pedir, assim... Com total respeito à douta defesa, mas queria pedir aos senhores advogados que se abstivessem de responder pelo paciente. O paciente... V. Exas. podem assessorá-lo... "
"545","48","2021-08-25","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Podem tudo, menos responder pelo depoente "
"546","48","2021-08-25","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Se V. Exas. inclusive quiserem pedir um tempo pra conversar com o paciente, não tem problema, esta Presidência concederá. Agora, a resposta nós gostaríamos de ouvir do depoente, o Sr. Roberto Pereira Ramos Júnior. Sr. Relator, prossiga. "
"547","48","2021-08-25","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","Sr. Relator, o senhor sabia que o telefone do escritório do Marcos Tolentino é o mesmo do FIB Bank? "
"548","48","2021-08-25","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Não, não sabia, e essa é uma informação importante que V. Exa. traz. "
"549","48","2021-08-25","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","O endereço do apartamento, o endereço do escritório dele... "
"550","48","2021-08-25","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","","Repete, Senador Rogério, por favor. "
"551","48","2021-08-25","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","O telefone informado como sendo da FIB Bank Garantia de Fianças Fidejussórias S.A. também seria o do escritório Benetti & Associados – Gestão Tributária e Empresarial, que tem Marcos Tolentino da Silva como membro do conselho do escritório. Telefone (11)5041-3000. "
"552","48","2021-08-25","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Esta Comissão Parlamentar de Inquérito, nesse depoimento, Senador Tasso, que eu considero histórico, está desvendando essa rede de fraude, de, de... "
"553","48","2021-08-25","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","Agora, interessante... "
"554","48","2021-08-25","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","... de descalabro... "
"555","48","2021-08-25","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","... uma empresa tem... "
"556","48","2021-08-25","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","O Sr. Marcos Tolentino já veio a esta CPI, não veio, Senador Renan?         "
